PassengerID,age,Gender,passenger_class,passenger_type,type_of_travel,FlightID,FoodID,SatisfactionID
23218,13,Male,Eco Plus,Loyal Customer,Personal Travel,123,1,1
23219,25,Male,Business,disloyal Customer,Business travel,124,3,2
23220,26,Female,Business,Loyal Customer,Business travel,385,5,3
23221,25,Female,Business,Loyal Customer,Business travel,123,6,4
23222,61,Male,Business,Loyal Customer,Business travel,380,21,5
23223,26,Female,Eco,Loyal Customer,Personal Travel,380,32,5
23224,47,Male,Eco,Loyal Customer,Personal Travel,380,40,5
23225,52,Female,Business,Loyal Customer,Business travel,380,45,5
23226,41,Female,Business,Loyal Customer,Business travel,380,1,5
23227,20,Male,Eco,disloyal Customer,Business travel,380,1,5
23228,24,Female,Eco,disloyal Customer,Business travel,380,1,5
23229,12,Female,Eco Plus,Loyal Customer,Personal Travel,380,1,5
23230,53,Male,Eco,Loyal Customer,Business travel,380,1,5
23231,33,Male,Eco,Loyal Customer,Personal Travel,123,1,5
23232,26,Female,Eco,Loyal Customer,Personal Travel,389,1,4
23233,13,Male,Eco,disloyal Customer,Business travel,389,1,4
23234,26,Female,Business,Loyal Customer,Business travel,389,1,4
23235,41,Male,Business,Loyal Customer,Business travel,389,1,4
23236,45,Female,Business,Loyal Customer,Business travel,389,1,4
23238,38,Male,Eco,Loyal Customer,Personal Travel,389,1,4
23239,9,Male,Eco,Loyal Customer,Business travel,389,1,4
23240,17,Female,Eco,Loyal Customer,Personal Travel,389,1,4
23241,43,Female,Eco,Loyal Customer,Personal Travel,123,1,4
23242,58,Female,Eco,Loyal Customer,Personal Travel,123,1,4
23243,23,Female,Eco,disloyal Customer,Business travel,123,1,4
23245,57,Male,Eco,Loyal Customer,Personal Travel,123,1,4
23246,33,Female,Business,Loyal Customer,Business travel,123,1,4
23247,49,Female,Eco Plus,Loyal Customer,Business travel,123,1,4
23248,36,Female,Business,Loyal Customer,Business travel,123,1,4
23249,22,Male,Eco,Loyal Customer,Personal Travel,123,1,4
23250,31,Female,Business,Loyal Customer,Business travel,123,1,4
23251,15,Female,Eco,disloyal Customer,Business travel,123,1,4
23253,35,Female,Business,Loyal Customer,Business travel,123,1,4
23254,67,Female,Eco,Loyal Customer,Personal Travel,123,1,4
23255,37,Male,Business,disloyal Customer,Business travel,123,1,4
23257,40,Female,Eco,Loyal Customer,Business travel,123,1,4
23259,34,Female,Business,disloyal Customer,Business travel,123,1,4
23260,40,Male,Eco Plus,Loyal Customer,Personal Travel,123,1,3
23261,47,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23262,41,Male,Business,disloyal Customer,Business travel,123,1,3
23264,39,Male,Business,Loyal Customer,Business travel,123,1,3
23265,25,Female,Business,disloyal Customer,Business travel,123,1,3
23266,41,Male,Business,Loyal Customer,Business travel,123,1,3
23267,38,Female,Business,Loyal Customer,Business travel,123,1,3
23268,50,Female,Business,Loyal Customer,Business travel,123,1,3
23269,29,Male,Business,Loyal Customer,Business travel,123,1,3
23271,22,Female,Business,Loyal Customer,Personal Travel,123,1,3
23272,13,Female,Business,Loyal Customer,Business travel,123,1,3
23273,54,Male,Business,Loyal Customer,Business travel,123,1,3
23274,21,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23275,28,Male,Eco,Loyal Customer,Business travel,123,1,3
23276,27,Male,Business,Loyal Customer,Business travel,123,1,3
23277,69,Female,Eco,Loyal Customer,Business travel,123,1,3
23278,35,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23280,60,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23281,45,Female,Business,Loyal Customer,Business travel,123,1,3
23282,57,Female,Business,Loyal Customer,Business travel,123,1,3
23283,40,Male,Business,Loyal Customer,Business travel,123,1,3
23284,38,Female,Business,disloyal Customer,Business travel,123,1,3
23285,23,Male,Eco,disloyal Customer,Business travel,123,1,3
23286,39,Male,Business,disloyal Customer,Business travel,123,1,3
23287,52,Female,Business,Loyal Customer,Business travel,123,1,3
23288,25,Male,Eco,disloyal Customer,Business travel,123,1,3
23289,48,Female,Business,Loyal Customer,Business travel,123,1,3
23290,59,Female,Business,Loyal Customer,Business travel,123,1,3
23291,25,Male,Business,Loyal Customer,Business travel,123,1,3
23292,38,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23293,46,Male,Business,Loyal Customer,Business travel,123,1,3
23294,50,Male,Eco,Loyal Customer,Business travel,123,1,3
23295,38,Female,Eco Plus,Loyal Customer,Business travel,123,1,3
23296,53,Female,Business,Loyal Customer,Business travel,123,1,3
23297,30,Male,Eco Plus,Loyal Customer,Business travel,123,1,3
23298,39,Male,Business,disloyal Customer,Business travel,123,1,3
23299,66,Male,Eco Plus,Loyal Customer,Personal Travel,123,1,3
23300,45,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23301,25,Female,Business,disloyal Customer,Business travel,123,1,3
23302,52,Male,Business,Loyal Customer,Business travel,123,1,3
23303,64,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23304,50,Female,Eco,disloyal Customer,Business travel,123,1,3
23305,41,Female,Business,disloyal Customer,Business travel,123,1,3
23307,26,Male,Business,Loyal Customer,Business travel,123,1,3
23308,25,Female,Eco,disloyal Customer,Business travel,123,1,3
23309,44,Female,Business,disloyal Customer,Business travel,123,1,3
23310,21,Female,Business,disloyal Customer,Business travel,123,1,3
23311,47,Male,Business,Loyal Customer,Business travel,123,1,3
23312,31,Male,Eco Plus,Loyal Customer,Business travel,123,1,3
23313,57,Female,Eco Plus,Loyal Customer,Personal Travel,123,1,3
23314,44,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23315,45,Male,Business,Loyal Customer,Business travel,123,1,3
23316,13,Male,Eco,disloyal Customer,Business travel,123,1,3
23317,60,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23318,41,Female,Business,disloyal Customer,Business travel,123,1,3
23320,30,Male,Business,Loyal Customer,Business travel,123,1,3
23321,51,Female,Eco Plus,Loyal Customer,Business travel,123,1,3
23323,61,Female,Eco,Loyal Customer,Business travel,123,1,3
23325,32,Female,Eco,Loyal Customer,Business travel,123,1,3
23326,39,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23327,19,Male,Business,Loyal Customer,Personal Travel,123,1,3
23329,15,Female,Eco Plus,Loyal Customer,Personal Travel,123,1,3
23330,42,Female,Business,disloyal Customer,Business travel,123,1,3
23331,16,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23332,19,Male,Business,Loyal Customer,Business travel,123,1,3
23333,29,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23334,27,Female,Eco Plus,disloyal Customer,Business travel,123,1,3
23335,22,Male,Business,disloyal Customer,Business travel,123,1,3
23336,15,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23337,11,Male,Eco,disloyal Customer,Business travel,123,1,3
23338,34,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23339,26,Female,Eco,disloyal Customer,Business travel,123,1,3
23340,26,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23341,53,Male,Business,Loyal Customer,Business travel,123,1,3
23342,36,Male,Business,Loyal Customer,Business travel,123,1,3
23343,32,Male,Business,Loyal Customer,Business travel,123,1,3
23344,20,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23345,35,Female,Business,Loyal Customer,Business travel,123,1,3
23346,15,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23347,52,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23348,45,Male,Business,Loyal Customer,Business travel,123,1,3
23349,24,Female,Eco,disloyal Customer,Business travel,123,1,3
23350,46,Female,Business,Loyal Customer,Business travel,123,1,3
23351,26,Male,Eco,disloyal Customer,Business travel,123,1,3
23352,28,Male,Eco,Loyal Customer,Business travel,123,1,3
23353,11,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23355,45,Male,Business,Loyal Customer,Business travel,123,1,3
23356,62,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23357,34,Female,Business,Loyal Customer,Business travel,123,1,3
23358,51,Male,Business,Loyal Customer,Business travel,123,1,3
23359,58,Female,Eco Plus,Loyal Customer,Business travel,123,1,3
23360,22,Male,Eco,Loyal Customer,Personal Travel,123,1,3
23362,8,Male,Eco,Loyal Customer,Business travel,123,1,3
23363,26,Male,Business,disloyal Customer,Business travel,123,1,3
23364,22,Female,Eco,Loyal Customer,Personal Travel,123,1,3
23365,21,Female,Business,Loyal Customer,Business travel,123,1,3
